id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"FORTLEV-GROWATT-AXE-5.0L","","Bateria Growatt AXE 5.0L LiFePO4 5kWh","Growatt","","others","6716.83","5000","","51.2","10","/placeholder-accessory.jpg","Fortlev","true","Bateria de lítio LiFePO4 5kWh para sistemas híbridos e antiapagão. 6000 ciclos a 80%, DoD 95%, garantia 10 anos. Ideal para aplicações residenciais e comerciais com alta confiabilidade.","","11"
"FORTLEV-GROWATT-THOR07AS-P","P","Carregador EV Growatt THOR07AS-P 7kW","Growatt","","others","3423.66","7000","","220","7","/placeholder-accessory.jpg","Fortlev","true","Carregador veicular 7kW com integração solar (PV-linkage), WiFi e controle por app. Conector Type 2, proteção IP55, ideal para residências com energia solar e veículos elétricos.","","10"
"FORTLEV-FOXESS-A7300P1-E-2","2","Carregador EV FoxESS A7300P1-E-2 7.3kW","FoxESS","","others","2811.46","7300","","220","","/placeholder-accessory.jpg","Fortlev","true","Carregador inteligente 7.3kW com OCPP 1.6J/2.0.1 para gestão de frotas, WiFi/Bluetooth, balanceamento dinâmico de carga. Ideal para aplicações comerciais e residenciais com múltiplos veículos.","","9"
"FORTLEV-NEP-PVG-3-20A-L","L","RSD NEP PVG-3-20A-L (MC4) Rapid Shutdown","NEP","","others","91178","","","","20","/placeholder-accessory.jpg","Fortlev","true","Dispositivo de desligamento rápido (RSD) para até 3 módulos, 20A, conector MC4. Conformidade NEC 690.12, certificado UL 3741. Essencial para segurança do instalador e conformidade regulatória.","","9"
"FORTLEV-CONDUFORT-DN40-PEAD","PEAD","Duto Corrugado Condufort DN 40 PEAD NBR 450N 50m","Condufort","","others","566","","","","","/placeholder-accessory.jpg","Fortlev","true","Duto corrugado PEAD DN 40 para passagem de cabos DC/AC, resistente a UV, instalação subterrânea ou aérea. NBR 450N, rolo de 50m. Proteção mecânica para sistemas fotovoltaicos.","","6"
"FORTLEV-CAIXA-PASSAGEM-PRFV-D0.8-H0.8","","Caixa de Passagem PRFV D 0.8m × H 0.8m","Genérico","","others","86488","","","","","/placeholder-accessory.jpg","Fortlev","true","Caixa de passagem em PRFV 0.8m × 0.8m para instalações subterrâneas, alta resistência mecânica e zero corrosão. Ideal para usinas fotovoltaicas e aplicações comerciais/industriais.","","3"
"FORTLEV-CERCA-ARAME-1.8MX20M","","Cerca de Arame Galvanizado 1.8m × 20m","Genérico","","others","88795","","","","","/placeholder-accessory.jpg","Fortlev","true","Cerca de arame galvanizado 1.8m × 20m para proteção perimetral de usinas fotovoltaicas. Aço galvanizado resistente, malha 65×65mm, diâmetro 2.1mm. Ideal para segurança de instalações solares.","","3"
"solfacil_accessories_1","1","KIT FIXACAO FINAL TF-015 P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF 007)","SOLFACIL","","accessories","7.48","","","","","/placeholder-accessory.jpg","loja.solfacil.com.br","true","KIT FIXACAO FINAL TF-015 P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF 007)","","0"
"solfacil_accessories_2","2","KIT FIXADOR MICRO INVERSOR P/ PERFIL LATERAL (C/ SUPORTE L)","SOLFACIL","","accessories","16","","","","","/placeholder-accessory.jpg","loja.solfacil.com.br","true","KIT FIXADOR MICRO INVERSOR P/ PERFIL LATERAL (C/ SUPORTE L)","","0"
"solfacil_accessories_3","3","SUPORTE P/ TELHA FIBROCIMENTO E METALICO ONDULADO - FIXACAO EM METAL- P/ PERFIL TF-007 - NV","SOLFACIL","","accessories","68.52","","","","","/placeholder-accessory.jpg","loja.solfacil.com.br","true","SUPORTE P/ TELHA FIBROCIMENTO E METALICO ONDULADO - FIXACAO EM METAL- P/ PERFIL TF-007 - NV","","0"
